5210healthylife.com	192.168.132.38								
5210healthylife.org	192.168.132.38								
acadiadaybyday.com	198.105.254.228	198.105.244.228							
acadiadaybyday.org	198.105.254.228	198.105.244.228							
acadiahospital.org	173.203.24.234								
affiliatedahs.com	173.203.24.234								
affiliatedcollectionsinc.com	192.168.132.161								
affiliateddrugtesting.com	192.168.132.161								
affiliatedhealthcaresystems.com	173.203.24.234								
affiliatedlab.com	173.203.24.234								
affiliatedlab.org	173.203.24.234								
affiliatedpharmacy.com	192.168.132.161								
ahs.emh.org	10.19.132.151								
bangorbeaconcommunity.com	192.168.132.38								
bangorbeaconcommunity.org	192.168.132.38								
bavn.org	192.168.132.161								
beachtobeach.org	192.168.132.38								
beaconhealth.me	192.168.132.161								
bhmh.org	173.203.24.234								
bigbluea.com	192.168.132.161								
bikeandboat.org	192.168.132.36								
birthingcenteratinland.org	192.168.132.45								
brainhealthinaging.org	173.203.24.234								
brewerprofessionalcenter.com	192.168.132.36								
cadean.org	108.166.25.189								
capitalambulance.net	173.203.24.234								
capitalambulance.org	173.203.24.234								
cardiac.emmc.org	192.168.132.161								
cdsmaine.com	192.168.132.11								
championthecurechallenge.org	192.168.132.38								
championthecure.org	192.168.132.161								
chaseforthechildren.com	192.168.132.38								
chaseforthechildren.org	192.168.132.38								
close2homecampaign.com	192.168.132.38								
close2homecampaign.org	192.168.132.38								
closetohomecampaign.com	192.168.132.38								
closetohomecampaign.org	192.168.132.38								
coastalskin.org	192.168.132.161								
ctcchallenge.org	192.168.132.161								
easternmainehomecare.org	192.168.132.161								
emcharities.org	192.168.132.36								
emh.biz	192.168.132.38								
emh.com	173.203.24.234								
emh.org	172.23.128.19	172.23.128.70	10.20.22.20	10.19.132.137	10.19.132.138	10.20.22.21	10.19.2.76	10.19.2.77	173.203.24.234
emhospice.com	192.168.132.161								
emhospice.org	192.168.132.161								
emhsdifferenceincare.org	173.203.24.234								
emhsfoundation.org	216.235.204.93								
emhs.org	162.242.177.86								
emhstogether.org                           	Not Found								
emhsystems.org	192.168.132.35								
emht1.org	192.168.132.35								
emic.emmc.org	192.168.94.32								
emmcauxiliary.com	192.168.94.33								
emmcauxiliary.org	192.168.132.161								
emmcclinicalresearch.com	173.203.24.234								
emmcclinicalresearch.org	173.203.24.234								
emmccogen.org	192.168.132.161								
emmc.emh.org	192.168.94.32								
emmcfprp.com	192.168.132.161								
emmcfprp.org	192.168.132.161								
emmc.org	192.168.132.114								
emmcoutreach.org	192.168.132.161								
empty-arms.org	192.168.132.38								
frenchmanbayorthopedics.org	192.168.132.161								
givetolife.com	192.168.132.36								
givetolife.org	192.168.132.36								
hancockcountyhomecare.org	192.168.132.161								
handandshouldercenter.org	192.168.132.57								
healthcarecharities.org	192.168.132.161								
inlandfoundation.org	192.168.132.38								
inlandhomecare.org	192.168.132.161								
inlandhospitalcharities.org	Not Found								
inlandhospital.org	173.203.24.232								
joinemhs.org	24.39.0.197								
lifeflightfoundation.org	192.168.132.161								
lifeflightmaine.com	23.253.195.54								
lifeflightmaine.org	23.253.195.54								
listserv.emh.org	192.168.132.56								
maineflow.org	192.168.132.102								
maineorthotrauma.org	192.168.132.38								
mainesbiggestbabyshower.org	192.168.132.36	192.168.132.38							
maineurologyassociates.com	192.168.132.38								
mcdonaldshhhgc.com	192.168.132.161								
mcdonaldshhhgc.org	192.168.132.161								
mcdonaldshhhgolfclassic.com	192.168.132.161								
mcdonaldshhhgolfclassic.org	192.168.132.161								
mcmhospital.org	192.168.132.161								
meadowwoodhealth.com	192.168.132.38								
meadowwoodhealth.org	192.168.132.38								
